NO,의원명,업무구분,대표전화,주소,평일 진료,토요일 진료,일요일 진료,공휴일 진료,위도,경도
12338,연세지디치과의원,치과,02-569-9799,서울특별시 강남구 도곡로 115,10:00~18:30,10:00~14:00,-,-,37.4902473,127.0329991
5978,재단법인동국한방의원,한의원,02-536-5599,서울특별시 서초구 방배로 186 (방배동),09:00~18:00,09:00~16:00,-,-,37.4902557,126.9923794
11496,명성한의원,한의원,02-3461-9988,서울특별시 강남구 강남대로58길 45,10:00~18:00,10:00~14:00,-,-,37.4902602,127.0357116
6306,웰티스치과의원,치과,02-864-2828,서울특별시 구로구 구로동로 130-1,09:30~18:30,09:30~16:00,-,-,37.4902615,126.8844409
11899,서울에이스치과의원,치과,02-857-7576,서울특별시 구로구 도림로 81,09:30~18:30,09:30~14:00,-,-,37.4902739,126.8921818
52,구로밝은빛안과의원,의원,02-851-7677,서울특별시 구로구 구로동로26길 37,09:00~18:30,09:00~15:00,-,-,37.4902898,126.8862343
2298,이지신경외과의원,의원,02-866-9201,"서울특별시 구로구 구로동로26길 37, 3층 (구로동)",09:00~18:00,09:00~15:00,-,-,37.4902898,126.8862343
10706,조이비인후과의원,의원,02-855-7767,서울특별시 구로구 구로동로26길 37 (구로동),09:00~19:00,09:00~15:00,-,-,37.4902898,126.8862343
3095,강충희치과의원,치과,02-830-7528,서울특별시 구로구 구로동로26길 37 (구로동),09:30~18:30,09:30~14:00,-,-,37.4902898,126.8862343
2133,서울경희한의원,한의원,02-839-1010,"서울특별시 구로구 구로동로26길 37, 5층 (구로동)",09:00~19:00,09:00~16:00,-,-,37.4902898,126.8862343
10034,인당한의원,한의원,02-557-3906,"서울특별시 강남구 도곡로 117, 2층 (역삼동, 옥신타워)",10:00~18:00,10:00~15:00,-,-,37.4902898,127.0331671
12901,조소아과의원,의원,02-409-6767,서울특별시 송파구 송이로31길 36,09:30~18:30,09:30~16:00,-,-,37.4903412,127.1343241
11157,김기철한의원,한의원,02-403-1075,서울특별시 송파구 송이로31길 36,09:30~19:00,09:30~15:00,-,-,37.4903412,127.1343241
12011,소망이비인후과의원,의원,02-2226-5055,서울특별시 강남구 일원로 39,09:30~18:30,09:30~14:00,-,-,37.4903436,127.0813214
5499,소망치과의원,치과,02-445-5087,"서울특별시 강남구 일원로 39, 2층 (일원동, 대원빌딩)",10:00~18:30,10:00~14:00,-,-,37.4903436,127.0813214
10670,리우한의원,한의원,02-2038-3420,"서울특별시 서초구 서초중앙로 95, 3층 (서초동, 거북빌딩)",10:00~19:00,10:00~13:00,-,-,37.4903747,127.0139765
11176,김민우치과의원,치과,02-835-2875,서울특별시 동작구 시흥대로 658,09:30~18:00,09:30~14:00,-,-,37.4903837,126.9080801
7481,허영준안과의원,의원,02-534-4664,"서울특별시 서초구 방배로 188, 302호(방배동,영동빌딩)",09:30~18:00,09:30~13:00,-,-,37.4904043,126.9922502
11758,사랑채한의원,한의원,02-511-8890,서울특별시 서초구 방배로 188,10:00~18:30,10:00~13:00,-,-,37.4904043,126.9922502
6983,유동철치과의원,치과,02-2684-3399,"서울특별시 구로구 개봉로 53, (개봉동)",10:00~18:30,10:00~14:00,-,-,37.4904081,126.8557481
2195,S아이니의원,의원,02-858-8811,"서울특별시 구로구 도림로 90, 혜성빌딩 5층 (구로동)",10:00~19:00,10:00~15:00,-,-,37.4904101,126.89342
2169,하늘뿌리한의원,한의원,02-830-0002,"서울특별시 구로구 구로동로 132, 2층 (구로동)",09:30~19:00,09:30~17:00,-,09:30~17:00,37.4904408,126.884344
15748,참고은치과의원,치과,02-417-7588,"서울특별시 강남구 일원로 37, 3층 (일원동, 하나은행 일원중앙)",09:30~18:30,09:30~14:00,-,-,37.4904882,127.081259
9771,서울내과의원,의원,02-521-2949,"서울특별시 서초구 반포대로 114, 2층 (서초동)",09:00~18:00,-,-,-,37.4904924,127.0087178
8686,꽃마을보건지소,보건소,02-2155-8261,"서울특별시 서초구 서초대로38길 12, 101동 1층 (서초동, 마제스타시티, 힐스테이트 서리풀)",09:00~18:00,-,-,-,37.490495,127.0053816
1802,의료법인녹십자의료재단녹십자아이메드의원,의원,02-2034-0500,"서울특별시 서초구 서초대로38길 12, 4,5층 (서초동, 마제스타시티 타워원)",08:30~17:30,08:30~12:30,-,-,37.490495,127.0053816
6249,김성훈가정의학과의원,의원,02-889-4365,서울특별시 관악구 당곡길 28,09:00~19:00,-,-,-,37.4905026,126.9291776
8193,천소아청소년과의원,의원,02-888-8683,"서울특별시 관악구 보라매로 12, 3층 (봉천동)",09:00~18:30,09:00~15:00,-,-,37.4905077,126.9277838
8195,연세건강한내과의원,의원,02-875-7596,서울특별시 관악구 보라매로 12 (봉천동),08:30~18:00,08:30~13:00,-,-,37.4905077,126.9277838
8194,홍성철치과의원,치과,02-876-7528,"서울특별시 관악구 보라매로 12, 3층 (봉천동)",09:30~18:30,09:30~13:30,-,-,37.4905077,126.9277838
12109,신창내과의원,의원,02-833-1228,서울특별시 영등포구 디지털로 369,09:30~18:30,09:30~13:00,-,-,37.4905079,126.9008543
2260,아름샘의원,의원,02-591-9119,"서울특별시 구로구 도림로 92, 2층 (구로동)",09:00~18:00,09:00~13:00,-,-,37.4905146,126.8935714
2076,한사랑한의원,한의원,02-834-9650,"서울특별시 영등포구 디지털로54길 3, 2층 202호 (대림동, 동보빌딩)",09:00~19:00,09:00~16:00,-,-,37.490517,126.9017072
2207,개봉한의원,한의원,02-2614-7725,"서울특별시 구로구 개봉로 55, 홍인빌딩 2층 (개봉동)",09:30~21:00,09:00~14:00,-,-,37.490577,126.8556988
11482,메이연세치과의원,치과,02-401-0275,서울특별시 송파구 문정로 83,10:00~18:30,10:00~15:30,-,-,37.4905809,127.1306635
11524,문정치과의원,치과,02-400-4701,서울특별시 송파구 문정로 83,10:00~18:30,10:00~14:00,-,-,37.4905809,127.1306635
311,두꺼비한의원,한의원,02-400-8807,"서울특별시 송파구 문정로 83 (문정동, 삼성래미안아프트 202호)",09:00~18:30,09:00~15:00,-,-,37.4905809,127.1306635
7848,새날한의원,한의원,02-851-7986,서울특별시 구로구 구로동로26길 5 (구로동),10:00~19:00,10:00~17:00,-,-,37.4906169,126.8845061
6096,이관우내과의원,의원,02-3411-0588,"서울특별시 강남구 일원로 35, 2층 (일원동)",09:00~18:00,09:00~13:00,-,-,37.4906322,127.0812099
12438,오규성안과의원,의원,02-445-8593,서울특별시 강남구 일원로 35,09:30~18:00,09:30~13:00,-,-,37.4906322,127.0812099
15850,태양한의원,한의원,02-2226-3455,"서울특별시 강남구 일원로 35 (일원동, 남경빌딩)",09:30~18:30,09:30~16:00,-,-,37.4906322,127.0812099
7480,장계봉치과의원,치과,02-591-3550,"서울특별시 서초구 방배로 192, 2층 (방배동, 도원빌딩)",09:30~18:00,09:30~13:00,-,-,37.4906516,126.992154
6119,전통태종한의원,한의원,02-875-7510,"서울특별시 관악구 봉천로7길 33, 2층 (봉천동)",09:00~18:30,09:00~15:00,-,-,37.4906529,126.9258488
2210,구로성모정형외과의원,의원,02-857-9535,"서울특별시 구로구 구로동로 135, 남부빌딩 2층 (구로동)",09:00~18:00,09:00~13:00,-,-,37.49066,126.8836546
4296,바른송치과의원,치과,02-862-7891,"서울특별시 구로구 구로동로 135, 3층 (구로동)",09:30~18:30,09:30~14:00,-,-,37.49066,126.8836546
3712,특별한한의원,한의원,02-582-9075,"서울특별시 서초구 반포대로 118, 2층 (서초동)",12:00~21:00,10:00~15:00,-,-,37.4906744,127.0086015
935,리움치과의원,치과,02-532-2728,"서울특별시 서초구 방배로 195, 2층 201호 (방배동)",10:00~18:30,10:00~14:00,-,-,37.4906763,126.9914549
5379,서울성형외과의원,의원,02-842-3333,"서울특별시 동작구 보라매로5가길 24 (신대방동, 보라매나산스위트 201,212호)",10:00~19:00,10:00~17:00,-,-,37.4906837,126.9239204
13765,미즈필치과의원,치과,02-848-3633,"서울특별시 동작구 보라매로5가길 24, 204층 (신대방동, 보라매나산스위트빌딩)",09:30~17:30,09:30~14:00,-,-,37.4906837,126.9239204
10491,비앤비한의원,한의원,02-888-7510,"서울특별시 관악구 보라매로 14, 2층 (봉천동)",09:30~19:00,09:30~14:00,-,09:30~14:00,37.4906846,126.9276067
3759,유디치과의원,치과,02-2182-3300,"서울특별시 서초구 강남대로 309, 지하1층 (서초동, 코리아비지니스센타)",09:30~18:30,09:30~14:30,-,-,37.4906875,127.0304382
14007,민영규치과의원,치과,02-854-2875,"서울특별시 구로구 구로동로28길 2, (구로동)",09:30~18:30,09:30~14:00,-,-,37.4906968,126.8842949
338,굿타이밍치과의원,치과,02-2681-2875,"서울특별시 구로구 개봉로 56, 2층 (개봉동)",09:30~18:30,09:30~14:00,-,-,37.4906982,126.8563494
2377,대림성모의원,종합병원,02-829-9000,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모의원)",08:30~17:30,08:30~12:30,-,-,37.490701,126.9071757
3580,가이드치과의원,치과,02-836-2875,서울특별시 영등포구 시흥대로 657,09:30~18:30,09:00~14:00,-,09:00~14:00,37.490701,126.9071757
203,김안과21의원,의원,02-835-8288,"서울특별시 동작구 시흥대로 664, 3층 (신대방동, 충성빌딩)",09:00~18:30,09:00~13:00,-,-,37.490707,126.9084
6044,전로원내과의원,의원,02-847-6123,"서울특별시 동작구 시흥대로 664, 4,5,6층 (신대방동)",08:30~18:00,08:30~16:00,-,-,37.490707,126.9084
6808,온마취통증의학과의원,의원,02-835-7588,"서울특별시 동작구 시흥대로 664, 2층 (신대방동, 충성빌딩)",09:00~18:30,09:00~15:00,-,-,37.490707,126.9084
14672,박신영정신건강의학과의원,의원,02-833-3777,"서울특별시 동작구 시흥대로 664, 4층 (신대방동)",09:00~18:00,09:00~14:00,-,-,37.490707,126.9084
3454,유라치과의원,치과,02-841-9373,서울특별시 동작구 시흥대로 664,09:30~18:00,09:30~13:00,-,-,37.490707,126.9084
286,윤영석내과의원,의원,02-508-7781,"서울특별시 강남구 남부순환로 2912 (대치동, 305,306,307호)",09:00~18:30,09:00~14:00,-,-,37.4907074,127.0561531
1054,제이유피부과의원,의원,02-568-3348,"서울특별시 강남구 남부순환로 2912, 301-1호 (대치동)",10:00~19:30,10:00~16:30,-,-,37.4907074,127.0561531
1772,대치삼성정형외과의원,의원,02-555-8067,"서울특별시 강남구 남부순환로 2912, 2층 202호 (대치동)",09:30~19:00,09:30~15:00,-,-,37.4907074,127.0561531
9950,타워비뇨기과의원,의원,02-562-6699,서울특별시 강남구 남부순환로 2912,09:00~19:00,09:00~16:00,-,-,37.4907074,127.0561531
11092,광혜안과의원,의원,02-539-7658,서울특별시 강남구 남부순환로 2912,09:30~20:00,09:30~15:00,-,-,37.4907074,127.0561531
12867,정파종외과의원,의원,02-557-3553,서울특별시 강남구 남부순환로 2912,09:00~18:00,09:00~13:00,-,-,37.4907074,127.0561531
15568,임승윤재활의학과의원,의원,02-501-1562,"서울특별시 강남구 남부순환로 2912 (대치동, 3층일부)",09:00~19:00,09:00~14:00,-,-,37.4907074,127.0561531
13690,안창영치과의원,치과,02-572-2875,서울특별시 강남구 남부순환로 2912 (대치동),09:30~18:30,09:30~16:00,-,-,37.4907074,127.0561531
4453,로데오치과의원,치과,02-409-7528,"서울특별시 송파구 동남로 119 (가락동, 삼광빌딩 5층)",10:00~18:00,10:00~14:00,-,-,37.4907185,127.124301
2253,수피부과의원,의원,02-2613-9075,"서울특별시 구로구 개봉로 57, 2층 (개봉동)",09:00~19:00,09:00~15:00,-,-,37.4907456,126.8557494
2269,연세수이비인후과의원,의원,02-2613-0075,"서울특별시 구로구 개봉로 57, 3층 (개봉동)",09:00~18:30,09:00~14:00,-,-,37.4907456,126.8557494
7867,신동석치과의원,치과,02-2618-0774,"서울특별시 구로구 개봉로 57, (개봉동)",09:30~19:00,09:30~13:00,-,-,37.4907456,126.8557494
5868,연세베스트덴치과의원,치과,02-836-2223,서울특별시 동작구 보라매로5길 51,09:30~18:00,09:30~14:00,-,-,37.490755,126.9233591
9337,전한의원,한의원,02-536-3222,"서울특별시 서초구 동광로 26, 2호 (방배동)",10:30~17:00,10:30~17:00,-,10:30~17:00,37.4907593,126.9853931
960,구로한사랑의원,의원,02-838-9225,"서울특별시 구로구 구로동로 138, 2층 일부 (구로동)",09:00~18:00,09:00~13:00,-,-,37.4908301,126.8841981
12357,연세피부과의원,의원,02-843-4414,서울특별시 동작구 시흥대로 664-1,09:30~18:30,10:00~14:00,-,-,37.4908305,126.9084996
2372,김지수피부과의원,의원,02-2682-1223,"서울특별시 구로구 개봉로 57-1, 2층 (개봉동)",09:30~18:00,09:30~12:30,-,-,37.4908359,126.8557391
14819,상쾌한이비인후과의원,의원,02-842-1175,"서울특별시 영등포구 시흥대로 659, 3층 (대림동)",09:00~18:00,09:00~12:00,-,-,37.490849,126.9075036
15112,아나파의원,의원,02-848-7588,"서울특별시 영등포구 시흥대로 659, 2층 (대림동)",09:00~19:00,09:00~14:00,-,-,37.490849,126.9075036
16637,제열한의원,한의원,02-832-1607,서울특별시 영등포구 시흥대로183길 4 (대림동),09:30~19:00,09:30~19:00,-,09:30~19:00,37.4908829,126.9073351
9388,21세기의원,의원,02-858-2828,"서울특별시 구로구 구로중앙로7길 28 (구로동, 극동아파트)",08:30~19:00,08:30~15:00,-,-,37.4909119,126.8894082
2136,수한의원,한의원,02-854-2777,"서울특별시 구로구 구로중앙로7길 28, 104호 (구로동, 극동아파트)",10:00~22:00,10:00~16:00,-,10:00~16:00,37.4909119,126.8894082
11067,고운니치과의원,치과,02-2618-3706,서울특별시 구로구 오류로 72,09:30~18:30,09:30~13:00,-,-,37.4909132,126.8409262
6034,남서울정형외과의원,의원,02-445-8275,"서울특별시 강남구 일원로 33, 2층 (일원동)",09:00~17:30,09:00~12:30,-,-,37.4909198,127.0810663
8264,김진권피부과의원,의원,02-445-5373,"서울특별시 강남구 일원로 33, 3층 (일원동,금성빌딩)",09:30~18:30,09:30~14:00,-,-,37.4909198,127.0810663
8289,박종진이비인후과의원,의원,02-2226-5973,"서울특별시 강남구 일원로 33, (일원동)",09:30~18:30,09:30~13:00,-,-,37.4909198,127.0810663
13421,정진한의원,한의원,02-445-5012,"서울특별시 강남구 일원로 33, 2층 201호 (일원동, 금성빌딩)",09:30~19:00,09:30~14:00,-,-,37.4909198,127.0810663
13931,경희동산한의원,한의원,02-534-1075,"서울특별시 서초구 동광로12길 8, 1층 (방배동, 유정빌딩)",14:00~18:30,10:00~15:30,-,-,37.4909574,126.9865086
6867,경희이수한의원,한의원,02-536-1275,"서울특별시 동작구 동작대로35길 2, 2층 (사당동, 원일빌딩)",09:00~19:00,09:00~14:00,-,-,37.4909641,126.9821578
2199,코알라이비인후과의원,의원,02-2687-5075,"서울특별시 구로구 오류로8길 16, 세명프라자 202호 (오류동)",09:00~18:30,09:00~14:00,-,09:00~13:00,37.490979,126.8415123
4473,이미지치과의원,치과,02-2685-2875,서울특별시 구로구 오류로8길 16 (오류동),10:00~19:00,09:00~14:00,-,-,37.490979,126.8415123
2119,내맘에한의원,한의원,02-2682-1075,"서울특별시 구로구 오류로8길 16, 세명프라자 203,204호 (오류동)",09:00~19:00,09:00~15:00,-,-,37.490979,126.8415123
3294,한상현치과의원,치과,02-2615-9883,"서울특별시 구로구 경인로 31-10, 203호(온수동,동진상가)",10:00~18:00,10:00~13:00,-,-,37.4910025,126.8253953
6993,아침나무한의원,한의원,02-833-0178,"서울특별시 영등포구 시흥대로 663, 2층 (대림동)",07:30~18:30,07:30~16:00,-,-,37.4910121,126.9076552
13683,토론토사랑치과의원,치과,02-886-2275,서울특별시 관악구 관악로 306 관악현대아파트2동 상가,09:30~18:30,09:30~13:00,-,-,37.491038,126.956751
9298,최남식치과의원,치과,02-599-3261,"서울특별시 서초구 동광로 1, 대양빌딩 (방배동)",10:00~18:30,10:00~15:00,-,-,37.4910819,126.9830337
5752,서초부부한의원,한의원,02-582-1076,"서울특별시 서초구 방배로 199, 2층 201호 (방배동)",10:00~18:00,10:00~14:00,-,-,37.491093,126.9911419
9043,강남의림한의원,한의원,02-536-8200,서울특별시 서초구 동광로 5,09:30~18:00,09:30~16:00,-,09:30~16:00,37.4911094,126.9834821
5690,정봉조안과의원,의원,02-832-6510,서울특별시 동작구 시흥대로 668-3 (신대방동),09:00~18:00,-,-,-,37.4911176,126.908617
11951,서초연세소아과의원,의원,02-584-9981,서울특별시 서초구 사임당로 138,09:00~18:00,09:00~13:30,-,-,37.4911287,127.0248258
16044,황지현재활의학과의원,의원,02-597-0795,"서울특별시 서초구 사임당로 138, 402호 (서초동, 신동아상가)",09:00~19:00,09:00~15:00,-,-,37.4911287,127.0248258
536,전경호피부과의원,의원,02-403-9430,서울특별시 송파구 동남로 138 (문정동),09:30~18:00,09:30~13:00,-,-,37.4911451,127.1262696
1205,드림안과의원,의원,02-402-7585,서울특별시 송파구 동남로 138,09:30~18:30,09:30~14:00,-,-,37.4911451,127.1262696
1601,문정정형외과의원,의원,02-407-7677,"서울특별시 송파구 동남로 138, 문정클리닉 빌딩 1층 (문정동)",09:00~19:00,09:00~13:00,-,-,37.4911451,127.1262696
2687,김상대내과의원,의원,02-431-0098,서울특별시 송파구 동남로 138 (문정동),09:00~18:00,09:00~13:00,-,-,37.4911451,127.1262696
9398,이미정산부인과의원,의원,02-407-2702,"서울특별시 송파구 동남로 138, 3층 (문정동)",09:30~18:00,09:30~14:00,-,-,37.4911451,127.1262696
12937,주이비인후과의원,의원,02-402-9783,서울특별시 송파구 동남로 138,09:00~18:30,09:00~13:00,-,-,37.4911451,127.1262696
13838,한소아청소년과의원,의원,02-448-6663,"서울특별시 송파구 동남로 138 (문정동, 3층)",09:00~18:30,09:00~14:00,-,-,37.4911451,127.1262696
15686,조은마취통증의학과의원,의원,02-407-7678,"서울특별시 송파구 동남로 138 (문정동, 4,5층)",09:00~19:00,09:00~16:00,-,-,37.4911451,127.1262696
15537,이퍼스트치과의원,치과,02-403-2875,서울특별시 송파구 동남로 138 (문정동),09:30~18:30,09:30~14:00,-,-,37.4911451,127.1262696
2191,강남리즈의료생활협동조합 강남리즈의원,의원,02-863-0075,"서울특별시 구로구 도림로23길 2, 한호빌딩 2층 (구로동)",10:00~19:00,10:00~16:00,-,-,37.4911456,126.8935865
14590,미래사랑산부인과의원,의원,02-837-7511,서울특별시 구로구 도림로23길 2 (구로동),09:00~19:00,09:00~16:00,-,-,37.4911456,126.8935865
1727,우리들의원,의원,02-2066-2601,서울특별시 구로구 오류로8길 20 (오류동),09:00~19:00,09:00~15:00,-,-,37.4911493,126.841923
2221,대유한의원,한의원,02-2686-8575,서울특별시 구로구 오류로8길 20 (오류동),09:00~19:00,09:00~16:00,-,-,37.4911493,126.841923
10021,맞춤한의원,한의원,02-451-1275,"서울특별시 강남구 일원로 28 (일원동, 한신아파트)",09:30~19:00,09:30~14:00,-,-,37.4911889,127.0803371
2144,오디한의원,한의원,02-2617-3375,"서울특별시 구로구 오류로 73, 2층 (오류동)",09:30~19:00,09:30~16:00,-,-,37.491198,126.8405866
5975,연세크라운비뇨기과의원,의원,02-588-2119,"서울특별시 서초구 반포대로22길 104, 2,3층 (서초동, 크라운빌딩)",09:30~19:00,09:30~16:00,-,-,37.4912193,127.0138465
856,삼성미래여성의원,의원,02-2682-2100,"서울특별시 구로구 서해안로 2296, 삼성미래여성의원 (오류동)",09:00~20:00,09:00~17:00,09:00~13:00,09:00~13:00,37.4912288,126.8404072
9025,엔디준의원,의원,02-3444-5300,"서울특별시 서초구 서초대로46길 20-7, 2층 (서초동, 영토빌딩)",09:30~18:00,09:30~13:00,-,-,37.4912475,127.0097795
16204,생명수한의원,한의원,02-459-3275,"서울특별시 강남구 일원로3길 12, 1층 (일원동)",09:30~19:00,09:30~16:00,-,-,37.4912903,127.0816863
1803,이립마취통증의학과의원,의원,02-522-9785,"서울특별시 서초구 강남대로51길 1, 511 TOWER 3층 (서초동)",09:00~19:00,09:00~14:00,-,-,37.4912909,127.030267
8785,송기산내과의원,의원,02-2617-7538,"서울특별시 구로구 오류로8길 26, 2층 (오류동)",09:00~19:00,09:00~13:00,-,-,37.4913027,126.8421898
2543,서울팔팔치과의원,치과,02-6671-2828,"서울특별시 영등포구 디지털로37길 30, 3층 3호 (대림동)",09:30~19:00,09:30~14:00,09:30~14:00,-,37.4913038,126.8980779
2355,강남아산재활의학과의원,의원,02-3411-7578,"서울특별시 강남구 개포로110길 43, 2층 (일원동, 기호빌딩 2층 일부)",09:00~19:00,09:00~15:00,-,-,37.491309,127.0791988
3884,뽀드득치과의원,치과,02-445-7827,서울특별시 강남구 개포로110길 43,09:00~18:00,09:00~17:00,-,-,37.491309,127.0791988
11258,김형남치과의원,치과,02-404-4133,서울특별시 송파구 송이로31길 52,10:00~18:30,10:00~14:00,-,-,37.491316,127.1355143
3683,서울가정의학과의원,의원,02-888-8858,"서울특별시 관악구 구암길 106, 205호 (봉천동, 관악드림타운분산상가)",08:30~18:30,08:30~15:30,-,-,37.4913225,126.9486157
1418,정다운외과의원,의원,02-6274-7575,"서울특별시 동작구 보라매로5가길 16, 506,507호 (신대방동)",09:00~18:00,09:00~16:00,-,-,37.4913263,126.924075
5733,스타일미의원,의원,02-832-9359,"서울특별시 동작구 보라매로5가길 16, 505호(신대방동,보라매아카데미타워)",14:00~21:30,10:00~15:30,-,-,37.4913263,126.924075
13724,서울탑비뇨기과의원,의원,02-6334-0137,"서울특별시 동작구 보라매로5가길 16, 504호 (신대방동)",09:30~18:00,09:30~13:00,-,-,37.4913263,126.924075
13844,보람메트로피부과의원,의원,02-6291-7575,"서울특별시 동작구 보라매로5가길 16, 512호 (신대방동, 아카데미타워)",09:40~18:30,09:40~13:00,-,-,37.4913263,126.924075
14280,김수진내과의원,의원,02-6747-7575,"서울특별시 동작구 보라매로5가길 16, 502호 (신대방동)",09:00~18:30,09:00~16:00,-,-,37.4913263,126.924075
15028,손이비인후과의원,의원,02-6673-7575,"서울특별시 동작구 보라매로5가길 16, 504호 (신대방동, 보라매아카데미타워)",09:00~18:30,09:00~14:00,-,-,37.4913263,126.924075
15068,스타일미여성의원,의원,02-6278-7575,"서울특별시 동작구 보라매로5가길 16, 514호 (신대방동, 보라매아카데미타워)",09:30~18:30,09:30~15:00,-,-,37.4913263,126.924075
12248,연세꿈사랑아이치과의원,치과,02-844-4500,서울특별시 동작구 보라매로5가길 16,09:30~18:00,09:30~14:00,-,-,37.4913263,126.924075
13730,유동기치과의원,치과,02-833-6969,"서울특별시 동작구 보라매로5가길 16, 501호 (신대방동)",09:30~18:30,09:30~14:00,-,-,37.4913263,126.924075
5951,미소본한의원,한의원,02-833-6033,"서울특별시 동작구 보라매로5가길 16, 516호 (신대방동)",09:30~18:30,-,-,-,37.4913263,126.924075
8666,동선소아과의원,의원,02-459-4500,서울특별시 강남구 양재대로55길 6,09:00~18:30,09:00~13:00,-,-,37.491331,127.0883253
12779,일원김치과의원,치과,02-451-2009,서울특별시 강남구 양재대로55길 6,09:30~18:00,09:30~14:00,-,-,37.491331,127.0883253
6649,청하당한의원,한의원,02-459-4500,"서울특별시 강남구 양재대로55길 6, 3층 312호 (일원동, 수서1단지아파트 상가)",09:00~18:30,09:00~13:00,-,-,37.491331,127.0883253
2438,정내과의원,의원,02-866-0356,"서울특별시 구로구 구로중앙로 10, 정내과 (구로동)",08:40~17:30,08:40~13:00,-,-,37.4913486,126.8925713
13522,박선혜산부인과의원,의원,02-3411-3070,"서울특별시 강남구 양재대로55길 7 (일원동, 3층, 지하1층)",09:30~18:30,09:00~14:00,-,-,37.4913529,127.0877573
9784,바른삼성치과의원,치과,02-3412-2275,"서울특별시 강남구 양재대로55길 7, 2층 (일원동)",10:00~19:00,10:00~14:00,-,-,37.4913529,127.0877573
16755,성모이비인후과의원,의원,02-449-5959,"서울특별시 송파구 중대로 60 (문정동, 주윤빌딩 502호)",10:00~17:00,-,-,-,37.4913607,127.1155525
2569,경희약손한의원,한의원,02-403-7975,"서울특별시 송파구 중대로 60 (문정동, 주윤빌딩4층)",09:00~19:00,09:00~15:00,-,-,37.4913607,127.1155525
11696,보라매수치과의원,치과,02-887-6644,서울특별시 관악구 보라매로 22,09:30~18:00,09:30~15:00,-,-,37.491371,126.9272974
1607,푸른이비인후과의원,의원,02-2615-5050,서울특별시 구로구 개봉로 63,09:00~19:00,09:00~16:00,-,09:00~13:00,37.4914012,126.8556918
3898,비타민치과의원,치과,02-2614-7522,서울특별시 구로구 개봉로 63 (개봉동),10:00~19:00,09:00~14:00,10:00~14:00,-,37.4914012,126.8556918
904,이정형외과의원,의원,02-835-6400,"서울특별시 동작구 보라매로3길 29, 304호 (신대방동, 해태보라매타워상가동)",09:00~19:00,09:00~15:00,-,09:00~13:00,37.491405,126.925186
6078,민내과의원,의원,02-835-6400,"서울특별시 동작구 보라매로3길 29, 3층 2호 (신대방동, 해태보라매타워)",09:00~19:00,09:00~15:00,-,09:00~13:00,37.491405,126.925186
11500,명인치과의원,치과,02-841-6661,서울특별시 동작구 보라매로3길 29,09:30~18:30,09:30~13:00,-,-,37.491405,126.925186
15259,연세필의원,의원,02-2619-3130,서울특별시 구로구 경인로 31-28 (온수동),09:30~18:30,09:30~13:00,-,-,37.4914114,126.8250183
11736,블랑쉬형치과의원,치과,02-598-7528,서울특별시 서초구 서초중앙로 108,09:30~18:30,09:30~14:00,-,-,37.4914259,127.0143797
5065,화이트스마일치과의원,치과,02-597-3275,서울특별시 서초구 서초대로 240,10:30~19:00,-,-,-,37.4914319,127.0083572
6668,선플러스치과의원,치과,02-583-7528,"서울특별시 서초구 서초대로 240, 203~206호 (서초동, 동일하이빌)",10:00~18:30,09:30~13:00,-,-,37.4914319,127.0083572
9891,온유한의원,한의원,02-598-1010,"서울특별시 서초구 서초대로 240, 208~210호 (서초동, 서초동동일하이빌)",09:30~19:20,-,-,-,37.4914319,127.0083572
8047,이규남내과의원,의원,02-888-7434,"서울특별시 관악구 양녕로 117, 301호 (봉천동,두산아파트에이상가)",09:00~18:00,09:00~13:00,-,-,37.491438,126.9426637
15171,엘리드치과의원,치과,02-3462-0921,"서울특별시 서초구 서초중앙로 107, 201호 (서초동, 삼화빌딩)",09:30~18:00,-,-,-,37.4914601,127.0137847
9786,우림치과의원,치과,02-833-9066,"서울특별시 영등포구 시흥대로 667-1, 3층 (대림동)",09:30~18:30,09:30~14:00,-,-,37.4914669,126.9080262
290,최재철내과의원,의원,02-2226-8062,서울특별시 강남구 양재대로55길 11 (일원동),09:00~18:00,09:00~13:00,-,-,37.4915359,127.0876655
4344,정의원,의원,02-2214-6280,"서울특별시 강남구 양재대로55길 11, 2층일부 (일원동)",09:00~18:00,09:00~13:00,-,-,37.4915359,127.0876655
4927,삼성웰치과의원,치과,02-3411-7528,"서울특별시 강남구 양재대로55길 11, 3층 (일원동)",10:00~19:00,10:00~14:00,-,-,37.4915359,127.0876655
13409,경희사랑채한의원,한의원,02-459-8275,"서울특별시 강남구 양재대로55길 11 (일원동, 1층, 2층일부)",09:30~21:00,09:30~16:30,-,-,37.4915359,127.0876655
4652,고운몸의원,의원,02-525-0304,서울특별시 서초구 강남대로 321,10:00~21:00,10:00~13:00,-,-,37.4915618,127.0299735
1428,삼성정형외과의원,의원,02-2618-6611,"서울특별시 구로구 개봉로 66, 지하1층,1-2층일부,3-4층 (개봉동)",09:00~18:00,09:00~13:00,-,-,37.4915754,126.856232
7866,미치과의원,치과,02-2611-2804,"서울특별시 구로구 개봉로 66, 2층 (개봉동)",10:00~18:30,10:00~14:00,-,-,37.4915754,126.856232
3000,가락마취통증의학과의원,의원,02-406-7582,"서울특별시 송파구 중대로 68, 4층 405호 (문정동, 훼미리 샤르망)",09:30~18:30,09:30~13:30,-,-,37.4915798,127.1164089
